salsah-id,salsah-url,dsp-url,dsp-iiif-image-api-info,dsp-iiif-image-api-full,signature,former-number,filename,bemerkungen
435655,https://data.dasch.swiss/resources/435655,https://ark.dasch.swiss/ark:/72163/1/0812/AM8c8Pg=QDiNH79UggYK1wL,https://iiif.dasch.swiss/0812/3KksFj8wkQY-nuqDDBaAPZB.jpx/info.json,https://iiif.dasch.swiss/0812/3KksFj8wkQY-nuqDDBaAPZB.jpx/full/max/0/default.jpg,SGV_12N_13420,FK 20,sgv.dir/images/SGV_12N_13420.TIF,Bild fehlt auf der Festplatte.
435656,https://data.dasch.swiss/resources/435656,https://ark.dasch.swiss/ark:/72163/1/0812/nrupLMRmSUuAxrIpEjyD=wG,https://iiif.dasch.swiss/0812/3J6M63Xlh3d-HBQ8p8dOH6D.jpx/info.json,https://iiif.dasch.swiss/0812/3J6M63Xlh3d-HBQ8p8dOH6D.jpx/full/max/0/default.jpg,SGV_12N_13421,FK 21,sgv.dir/images/SGV_12N_13421.TIF,Bild fehlt auf der Festplatte.
435657,https://data.dasch.swiss/resources/435657,https://ark.dasch.swiss/ark:/72163/1/0812/fMyyaDzdQCy0lmj9GjEebAB,https://iiif.dasch.swiss/0812/4wASotkqvkI-aTfEp0MscWw.jpx/info.json,https://iiif.dasch.swiss/0812/4wASotkqvkI-aTfEp0MscWw.jpx/full/max/0/default.jpg,SGV_12N_13422,FK 22,sgv.dir/images/SGV_12N_13422.TIF,Bild fehlt auf der Festplatte.
435658,https://data.dasch.swiss/resources/435658,https://ark.dasch.swiss/ark:/72163/1/0812/wbJcYuIhQJCrkwFXBRHYcQU,https://iiif.dasch.swiss/0812/7AVYOdk72fG-ZzxZA8cjAmW.jpx/info.json,https://iiif.dasch.swiss/0812/7AVYOdk72fG-ZzxZA8cjAmW.jpx/full/max/0/default.jpg,SGV_12N_13423,FK 23,sgv.dir/images/SGV_12N_13423.TIF,Bild fehlt auf der Festplatte.
435659,https://data.dasch.swiss/resources/435659,https://ark.dasch.swiss/ark:/72163/1/0812/cr3p9JO1SniY5nIeKzLE4gK,https://iiif.dasch.swiss/0812/0PVroHrWHb7-sItKhe4JGKM.jpx/info.json,https://iiif.dasch.swiss/0812/0PVroHrWHb7-sItKhe4JGKM.jpx/full/max/0/default.jpg,SGV_12N_13424,FK 24,sgv.dir/images/SGV_12N_13424.TIF,Bild fehlt auf der Festplatte.
435660,https://data.dasch.swiss/resources/435660,https://ark.dasch.swiss/ark:/72163/1/0812/hpOQFjNXQeWqp_G=aZiWgwk,https://iiif.dasch.swiss/0812/1ZoCkoqSXcA-HflLjaxZ17I.jpx/info.json,https://iiif.dasch.swiss/0812/1ZoCkoqSXcA-HflLjaxZ17I.jpx/full/max/0/default.jpg,SGV_12N_13425,FK 25,sgv.dir/images/SGV_12N_13425.TIF,Bild fehlt auf der Festplatte.
435661,https://data.dasch.swiss/resources/435661,https://ark.dasch.swiss/ark:/72163/1/0812/WH_hgusJQp6A7e8eUt8qsgC,https://iiif.dasch.swiss/0812/7N9u7eLJgQv-sY4hjSSTA48.jpx/info.json,https://iiif.dasch.swiss/0812/7N9u7eLJgQv-sY4hjSSTA48.jpx/full/max/0/default.jpg,SGV_12N_13426,FK 26,sgv.dir/images/SGV_12N_13426.TIF,Bild fehlt auf der Festplatte.
435662,https://data.dasch.swiss/resources/435662,https://ark.dasch.swiss/ark:/72163/1/0812/55Y=iSBbSNGN7ZZdNK4QOQt,https://iiif.dasch.swiss/0812/4GjHwTtw9hS-U2vuujHd9tb.jpx/info.json,https://iiif.dasch.swiss/0812/4GjHwTtw9hS-U2vuujHd9tb.jpx/full/max/0/default.jpg,SGV_12N_13427,FK 27,sgv.dir/images/SGV_12N_13427.TIF,Bild fehlt auf der Festplatte.
435663,https://data.dasch.swiss/resources/435663,https://ark.dasch.swiss/ark:/72163/1/0812/FhMvyH_4QZe6Yiy3liMC2w1,https://iiif.dasch.swiss/0812/1OiOosSyoWo-WiTiZIoSXNZ.jpx/info.json,https://iiif.dasch.swiss/0812/1OiOosSyoWo-WiTiZIoSXNZ.jpx/full/max/0/default.jpg,SGV_12N_13428,FK 28,sgv.dir/images/SGV_12N_13428.TIF,Bild fehlt auf der Festplatte.
435664,https://data.dasch.swiss/resources/435664,https://ark.dasch.swiss/ark:/72163/1/0812/xHoyyvHeTJKft0gDoN1LGwn,https://iiif.dasch.swiss/0812/6hyIcsGLJ7n-r7Uvd3TLNqJ.jpx/info.json,https://iiif.dasch.swiss/0812/6hyIcsGLJ7n-r7Uvd3TLNqJ.jpx/full/max/0/default.jpg,SGV_12N_13429,FK 29,sgv.dir/images/SGV_12N_13429.TIF,Bild fehlt auf der Festplatte.
