id, signature, date
422438,SGV_12N_00203,GREGORIAN:CE:1938
422439,SGV_12N_00204,GREGORIAN:CE:1938
422440,SGV_12N_00205,GREGORIAN:CE:1938
422441,SGV_12N_00206,GREGORIAN:CE:1938
422442,SGV_12N_00207,GREGORIAN:CE:1938
422443,SGV_12N_00208,GREGORIAN:CE:1938
422444,SGV_12N_00209,GREGORIAN:CE:1938
422445,SGV_12N_00210,GREGORIAN:CE:1938
422446,SGV_12N_00211,
422447,SGV_12N_00212,GREGORIAN:CE:1938
422448,SGV_12N_00213,GREGORIAN:CE:1938
422449,SGV_12N_00214,GREGORIAN:CE:1938
422450,SGV_12N_00215,GREGORIAN:CE:1938
422451,SGV_12N_00216,GREGORIAN:CE:1938
422452,SGV_12N_00217,GREGORIAN:CE:1938
422453,SGV_12N_00218,GREGORIAN:CE:1938
422454,SGV_12N_00219,GREGORIAN:CE:1938
422455,SGV_12N_00220,GREGORIAN:CE:1938
422456,SGV_12N_00221,
422457,SGV_12N_00222,GREGORIAN:CE:1938
422458,SGV_12N_00223,GREGORIAN:CE:1938
422459,SGV_12N_00224,GREGORIAN:CE:1938
422460,SGV_12N_00225,GREGORIAN:CE:1938
422461,SGV_12N_00226,
422462,SGV_12N_00227,GREGORIAN:CE:1938
422463,SGV_12N_00228,
422464,SGV_12N_00229,
422465,SGV_12N_00230,GREGORIAN:CE:1938
422466,SGV_12N_00231,GREGORIAN:CE:1938
422467,SGV_12N_00232,GREGORIAN:CE:1938
422468,SGV_12N_00233,GREGORIAN:CE:1938
422469,SGV_12N_00234,
422470,SGV_12N_00235,GREGORIAN:CE:1937
422471,SGV_12N_00236,
422472,SGV_12N_00237,GREGORIAN:CE:1937
422473,SGV_12N_00238,GREGORIAN:CE:1937
422474,SGV_12N_00239,GREGORIAN:CE:1937
422475,SGV_12N_00240,GREGORIAN:CE:1937
422476,SGV_12N_00241,
422477,SGV_12N_00242,
422478,SGV_12N_00243,
422479,SGV_12N_00244,GREGORIAN:CE:1937
422480,SGV_12N_00245,
422481,SGV_12N_00246,
422482,SGV_12N_00247,
422483,SGV_12N_00248,GREGORIAN:CE:1938
422484,SGV_12N_00249,GREGORIAN:CE:1938
422485,SGV_12N_00250,GREGORIAN:CE:1938
422486,SGV_12N_00251,
422487,SGV_12N_00252,
422488,SGV_12N_00253,
422489,SGV_12N_00254,
422490,SGV_12N_00255,
422491,SGV_12N_00256,
422492,SGV_12N_00257,
422493,SGV_12N_00258,
422494,SGV_12N_00259,
422495,SGV_12N_00260,
422496,SGV_12N_00261,
422497,SGV_12N_00262,
422498,SGV_12N_00263,GREGORIAN:CE:1937
422499,SGV_12N_00264,
422500,SGV_12N_00265,
422501,SGV_12N_00266,GREGORIAN:CE:1937
422502,SGV_12N_00267,
422503,SGV_12N_00268,GREGORIAN:CE:1937
422504,SGV_12N_00269,
422505,SGV_12N_00270,GREGORIAN:CE:1937
422506,SGV_12N_00271,
422507,SGV_12N_00272,GREGORIAN:CE:1937
422508,SGV_12N_00273,GREGORIAN:CE:1937
422509,SGV_12N_00274,GREGORIAN:CE:1937
422510,SGV_12N_00275,
422511,SGV_12N_00276,GREGORIAN:CE:1937
422512,SGV_12N_00277,GREGORIAN:CE:1937
422513,SGV_12N_00278,
422514,SGV_12N_00279,GREGORIAN:CE:1937
422515,SGV_12N_00280,
422516,SGV_12N_00281,
422517,SGV_12N_00282,
422518,SGV_12N_00283,
422519,SGV_12N_00284,
422520,SGV_12N_00285,
422521,SGV_12N_00286,
422522,SGV_12N_00287,
422523,SGV_12N_00288,
422524,SGV_12N_00289,
422525,SGV_12N_00290,
422526,SGV_12N_00291,
422527,SGV_12N_00292,
422528,SGV_12N_00293,
422529,SGV_12N_00294,
422530,SGV_12N_00295,
422531,SGV_12N_00296,
422532,SGV_12N_00297,
422533,SGV_12N_00298,
422534,SGV_12N_00299,
422535,SGV_12N_00300,
422536,SGV_12N_00301,GREGORIAN:CE:1937-05-06
422537,SGV_12N_00302,GREGORIAN:CE:1937-05-06
422538,SGV_12N_00303,GREGORIAN:CE:1937-05-06
422539,SGV_12N_00304,GREGORIAN:CE:1937-05-06
422540,SGV_12N_00305,GREGORIAN:CE:1937-05-06
422541,SGV_12N_00306,
422542,SGV_12N_00307,GREGORIAN:CE:1937-05-06
