asv id,latitude,longitude,name,desc,color,source,precision
142,47.057067,7.91394,Luthern,"Luthern, LUZERN, CH",,MapQuest,city/town
143,47.028565,7.744983,Sumiswald,"Sumiswald, BERN - BERNE, CH",,MapQuest,city/town
144,47.058688,7.623159,Burgdorf,"Burgdorf, BERN - BERNE, CH",,MapQuest,city/town
145,47.090408,7.447345,Messen,"Messen, SOLOTHURN, CH",,MapQuest,city/town
146,47.044335,7.2753,Aarberg,"Aarberg, BERN - BERNE, CH",,MapQuest,city/town
147,47.112581,7.171505,Twann,"Twann, BERN - BERNE, CH",,MapQuest,city/town
148,47.005886,7.105626,Ins,"Ins, BERN - BERNE, CH",,MapQuest,city/town
149,46.976132,7.197283,Kerzers,"Kerzers, FRIBOURG, CH",,MapQuest,city/town
150,47.021332,7.45192,Münchenbuchsee,"Münchenbuchsee, BERN - BERNE, CH",,MapQuest,city/town
151,46.992113,8.064519,Entlebuch,"Entlebuch, LUZERN, CH",,MapQuest,city/town
152,46.913477,7.937008,Escholzmatt,"Escholzmatt, LUZERN, CH",,MapQuest,city/town
153,46.922889,7.846683,Trubschachen,"Trubschachen, BERN - BERNE, CH",,MapQuest,city/town
154,46.948276,7.451501,Bern,"Berne, BERN - BERNE, CH",,MapQuest,city/town
155,46.928408,7.116332,Murten,"Murten, FRIBOURG, CH",,MapQuest,city/town
156,46.892804,7.175773,Gurmels,"Gurmels, FRIBOURG, CH",,MapQuest,city/town
157,46.851196,7.190354,Düdingen,"Düdingen, FRIBOURG, CH",,MapQuest,city/town
158,46.903302,7.239642,Laupen,"Laupen, BERN - BERNE, CH",,MapQuest,city/town
159,46.875973,7.278834,Wünnewil,"Wünnewil-Flamatt, FRIBOURG, CH",,MapQuest,city/town
160,46.88978,7.498388,Belp,"Belp, BERN - BERNE, CH",,MapQuest,city/town
161,46.873978,7.563194,Münsingen,"Münsingen, BERN - BERNE, CH",,MapQuest,city/town
162,46.874873,7.796291,Eggiwil,"Eggiwil, BERN - BERNE, CH",,MapQuest,city/town
163,46.730728,8.051004,Brienz,"Brienz, BERN - BERNE, CH",,MapQuest,city/town
164,46.716429,7.71607,Sigriswil,"Sigriswil, BERN - BERNE, CH",,MapQuest,city/town
165,46.758283,7.628086,Thun,"Thun, BERN - BERNE, CH",,MapQuest,city/town
166,46.793095,7.602917,Heimberg,"Heimberg, BERN - BERNE, CH",,MapQuest,city/town
167,46.767234,7.50719,Wattenwil,"Wattenwil, BERN - BERNE, CH",,MapQuest,city/town
168,46.82128,7.376392,Elisried-Schwarzenburg,"Elisried, BERN - BERNE, CH",,MapQuest,city/town
169,46.761502,7.210014,Giffers,"Giffers, FRIBOURG, CH",,MapQuest,city/town
170,46.741454,7.28651,Plaffeien,"Plaffeien, FRIBOURG, CH",,MapQuest,city/town
171,46.611395,7.276131,Jaun,"Jaun, FRIBOURG, CH",,MapQuest,city/town
172,47.301611,8.591533,Erlenbach,"Erlenbach, ZURICH, CH",,MapQuest,city/town
173,46.691947,7.677466,Spiez,"Spiez, BERN - BERNE, CH",,MapQuest,city/town
174,46.685523,7.858514,Interlaken,"Interlaken, BERN - BERNE, CH",,MapQuest,city/town
175,46.624273,8.036746,Grindelwald,"Grindelwald, BERN - BERNE, CH",,MapQuest,city/town
176,46.737906,8.205257,Hasliberg,"Hasliberg, BERN - BERNE, CH",,MapQuest,city/town
177,46.6557,8.289223,Guttannen,"Guttannen, BERN - BERNE, CH",,MapQuest,city/town
178,46.559458,7.892932,Mürren,"Mürren, BERN - BERNE, CH",,MapQuest,city/town
179,46.587502,7.643833,Frutigen,"Frutigen, BERN - BERNE, CH",,MapQuest,city/town
180,46.553261,7.373806,Zweisimmen,"Zweisimmen, BERN - BERNE, CH",,MapQuest,city/town
181,47.327748,9.22689,Saanen-Gstaad,"Schönengrund, APPENZELL AUSSERRHODEN, CH",,MapQuest,city/town
182,46.38512,7.269732,Gsteig,"Gsteig, BERN - BERNE, CH",,MapQuest,city/town
183,46.455888,7.441698,Lenk,"Lenk, BERN - BERNE, CH",,MapQuest,city/town
184,46.492721,7.558762,Adelboden,"Adelboden, BERN - BERNE, CH",,MapQuest,city/town
185,46.497587,7.675664,Kandersteg,"Kandersteg, BERN - BERNE, CH",,MapQuest,city/town
186,46.403995,7.78361,Wiler,"Wiler, CH",,MapQuest,city/town
187,46.538811,8.363232,Oberwald,"Obergoms, VALAIS - WALLIS, CH",,MapQuest,city/town
188,47.279614,7.370419,Münster,"Moutier, BERN - BERNE, CH",,MapQuest,city/town
189,46.806592,9.257625,Lax,"Laax, GRAUBÜNDEN - GRIGIONI - GRISCHUN, CH",,MapQuest,city/town
190,46.36457,8.184374,Binn,"Binn, VALAIS - WALLIS, CH",,MapQuest,city/town
191,46.316346,7.987947,Brig,"Brig-Glis, VALAIS - WALLIS, CH",,MapQuest,city/town
192,46.291311,7.881192,Visp,"Visp, VALAIS - WALLIS, CH",,MapQuest,city/town
193,46.273178,7.86562,Zeneggen,"Zeneggen, VALAIS - WALLIS, CH",,MapQuest,city/town
194,46.309934,7.799589,Raron,"Raron, VALAIS - WALLIS, CH",,MapQuest,city/town
195,46.301121,7.701742,Turtmann,"Turtmann, VALAIS - WALLIS, CH",,MapQuest,city/town
196,46.314982,7.645981,Leuk,"Leuk, CH",,MapQuest,city/town
197,46.022227,7.7494,Zermatt,"Zermatt, VALAIS - WALLIS, CH",,MapQuest,city/town
198,46.127844,7.937005,Saas-Grund,"Saas-Grund, VALAIS - WALLIS, CH",,MapQuest,city/town
199,47.139085,6.966539,Simpeln,"Sonvilier, BERN - BERNE, CH",,MapQuest,city/town
